id,title,category,year,decade,start_date,end_date,lat,lon,regions,deaths,injuries,evacuated,homeless,insured_cost,homes_destroyed,buildings_destroyed,impact_score,url
249,Environmental - Central Wheatbelt Western Australia,Environmental,1998,1990,9/19/1998 0:00,9/23/1998 0:00,-31.47698784,118.2832718,Western Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=249
251,Environmental - Heatwave Dec 1911,Environmental,1911,1910,12/1/1911 0:00,2/28/1912 0:00,-27.15840912,132.7209015,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,143.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.0,http://www.emknowledge.gov.au/resource/?id=251
254,Flood - Woden Valley,Flood,1971,1970,1/26/1971 0:00,1/26/1971 0:00,-35.36168671,149.07164,Australian Capital Territory,7.0,15.0,0.0,0.0,0.0,0.0,0.0,100.0,http://www.emknowledge.gov.au/resource/?id=254
257,Cyclone Agnes,Cyclone,1956,1950,3/6/1956 0:00,3/7/1956 0:00,-19.25200272,146.8206024,Queensland,4.0,0.0,0.0,0.0,0.0,20.0,0.0,80.0,http://www.emknowledge.gov.au/resource/?id=257
262,Flood - Sydney Aug 1986,Flood,1986,1980,8/4/1986 0:00,8/6/1986 0:00,-34.42443466,150.8930969,New South Wales,6.0,0.0,0.0,0.0,35000000.0,0.0,0.0,60.0,http://www.emknowledge.gov.au/resource/?id=262
265,"Flood - Gnarr Creek, Ballarat",Flood,1991,1990,12/16/1991 0:00,12/18/1991 0:00,-37.56203079,143.8566589,Victoria,0.0,0.0,0.0,220.0,24000000.0,0.0,0.0,44.0,http://www.emknowledge.gov.au/resource/?id=265
269,"Flood - Grafton, Kempsey and North Coast New South Wales",Flood,2001,2000,3/5/2001 0:00,3/12/2001 0:00,-29.69111061,152.9332886,New South Wales,0.0,0.0,3000.0,250.0,25000000.0,0.0,0.0,200.0,http://www.emknowledge.gov.au/resource/?id=269
271,Cyclone Hazel,Cyclone,1979,1970,3/1/1979 0:00,3/1/1979 0:00,-24.88456726,113.6291885,Western Australia,15.0,5.0,0.0,0.0,15000000.0,0.0,0.0,160.0,http://www.emknowledge.gov.au/resource/?id=271
280,Hail - Brisbane and Region,Hail,1998,1990,12/16/1998 0:00,12/16/1998 0:00,-27.41870308,153.0553284,Queensland,0.0,0.0,0.0,0.0,76000000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=280
288,Environmental - World War II Drought,Environmental,1939,1930,1/1/1939 0:00,6/30/1945 0:00,-35.11990738,147.3596191,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=288
295,Bushfire - Gippsland February 1932,Bushfire,1932,1930,2/4/1932 0:00,2/28/1932 0:00,-37.0245285,145.1369171,Victoria,9.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,http://www.emknowledge.gov.au/resource/?id=295
301,Flood - Eastern New South Wales,Flood,1950,1950,6/1/1950 0:00,6/30/1950 0:00,-30.89574432,153.0127716,New South Wales,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,http://www.emknowledge.gov.au/resource/?id=301
302,Severe Storm - Sydney and Blue Mountains,Severe Storm,1994,1990,11/20/1994 0:00,11/20/1994 0:00,-33.91601181,150.9922791,New South Wales,2.0,2.0,0.0,0.0,29000000.0,0.0,0.0,24.0,http://www.emknowledge.gov.au/resource/?id=302
303,Cyclone Ada,Cyclone,1970,1970,1/17/1970 0:00,1/19/1970 0:00,-20.26155281,148.9804535,Queensland,14.0,0.0,0.0,0.0,12000000.0,0.0,0.0,140.0,http://www.emknowledge.gov.au/resource/?id=303
304,"Severe Storm - Perth, Mandurah and South-West Coast",Severe Storm,1994,1990,5/23/1994 0:00,5/24/1994 0:00,-32.53684616,115.7422714,Western Australia,0.0,0.0,0.0,200.0,37000000.0,0.0,0.0,40.0,http://www.emknowledge.gov.au/resource/?id=304
307,Flood - Alice Springs and Central Northern Territory,Flood,1988,1980,3/31/1988 0:00,4/2/1988 0:00,-23.49347687,132.8082275,Northern Territory,3.0,0.0,300.0,0.0,10000000.0,0.0,0.0,45.0,http://www.emknowledge.gov.au/resource/?id=307
308,"Environmental - Heatwave, South-East Queensland",Environmental,2000,2000,1/20/2000 0:00,1/24/2000 0:00,-27.4644146,153.0340576,Queensland,22.0,350.0,0.0,0.0,0.0,0.0,0.0,920.0,http://www.emknowledge.gov.au/resource/?id=308
309,Bushfire - Western Districts and Streatham,Bushfire,1977,1970,2/12/1977 0:00,2/12/1977 0:00,-37.67930603,143.0588379,Victoria,4.0,0.0,0.0,350.0,9000000.0,116.0,340.0,1022.0,http://www.emknowledge.gov.au/resource/?id=309
313,Severe Storm - Sydney and Region 1998,Severe Storm,1998,1990,2/4/1998 0:00,2/4/1998 0:00,-34.8499794,150.7465363,New South Wales,0.0,1.0,0.0,0.0,12000000.0,0.0,0.0,2.0,http://www.emknowledge.gov.au/resource/?id=313
